dataset,method,NMI,ACC,ARI,Purity,true_c,c_out,count_abs_error,runtime_s,peak_rss_mb,n,status,panel
2dnormals,DPC-MFP,0.2847536899179456,0.34,0.1535868039233566,0.911,2,19,17,30.852485,1183.875,1000,ok,challenge8
aggregation,SNI-DPC,0.988268031204846,0.9961928934010152,0.9927076502018028,0.9961928934010152,7,7,0,3.775923,150.77,788,ok,challenge8
aggregation,Gravity,0.8894055132776747,0.8274111675126904,0.8089434170360936,0.8274111675126904,7,5,2,4.294387,195.414,788,ok,challenge8
aggregation,Torque Clustering,0.7699578523910665,0.7271573604060914,0.665543565661718,0.7271573604060914,7,3,4,28.850485,1261.223,788,ok,challenge8
aggregation,LDCC,0.9538459826331604,0.9555837563451776,0.9138729013928266,0.9555837563451776,7,6,1,3.479456,166.203,788,ok,challenge8
aggregation,Gauging-delta,0.981075800765006,0.9898477157360406,0.9873544469228288,0.9949238578680204,7,8,1,46.949579,898.473,788,ok,challenge8
aggregation,DPC-MFP,0.8080467558287003,0.618020304568528,0.5435646214827504,0.9974619289340102,7,14,7,27.840393,1177.352,788,ok,challenge8
DS6,SNI-DPC,0.932311251981044,0.9825,0.9461136864067388,0.9825,4,4,0,4.02735,154.016,800,ok,challenge8
DS6,Gravity,0.7450142989599964,0.685,0.5247673496551954,0.685,4,3,1,4.552539,203.258,800,ok,challenge8
DS6,Torque Clustering,0.5493758810802296,0.58375,0.3252076891743435,0.58375,4,2,2,26.527023,1172.82,800,ok,challenge8
DS6,LDCC,0.7405313993208602,0.69875,0.5258155152974693,0.69875,4,4,0,3.496357,165.879,800,ok,challenge8
DS6,Gauging-delta,0.7173526993557869,0.67875,0.5172865608687851,0.705,4,16,12,50.406749,921.398,800,ok,challenge8
DS6,DPC-MFP,0.7620667911507496,0.60375,0.5580046102240557,0.99875,4,10,6,30.375597,1187.855,800,ok,challenge8
